Parlamentare,id,Partito,dataIngresso,687015,687025,687003,687023,687035,687006,687002,687012,687001,687019,687013,687017,687032,687028,687026,687034,687027,687008,687010,687033,687024,687009,687014,687016,687031,687011,687040,687005,687029,687004,687037,687022,687036,687021,687039,687038,687030,687018,687020,687007,688008,688030,688018,688023,688007,688012,688024,688026,688027,688015,688014,688020,688019,688001,688004,688025,688003,688017,688028,688029,688002,688031,688009,688016,688013,688006,688011,688005,688021,688022,688010,691007,691001,691005,691011,691008,691003,691004,691009,691015,691016,691014,691006,691010,691002,691012,691013,692006,692014,692016,692003,692001,692004,692012,692019,692007,692020,692015,692002,692018,692005,692008,692011,692010,692009,692017,692013,695001,696035,696025,696042,696023,696012,696026,696022,696028,696043,696018,696038,696036,696013,696039,696034,696029,696030,696033,696041,696024,696037,696014,696016,696002,696006,696003,696001,696046,696015,696032,696008,696004,696005,696010,696047,696017,696019,696027,696044,696011,696009,696020,696007,696031,696021,696040,696045,697001,700002,700009,700016,700007,700005,700013,700011,700008,700015,700003,700006,700004,700001,700010,700014,700012,701007,701009,701003,701008,701011,701010,701002,701005,701004,701006,701001,703009,703008,703018,703017,703019,703015,703002,703003,703006,703011,703013,703021,703020,703010,703001,703016,703005,703012,703014,703004,703007
GUERINI LORENZO,305624,PD,2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
CAON ROBERTO,305632,MISTO,2018-03-23,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Non ha votato,Favorevole,Contrario,Contrario,Contrario,Non ha votato,Contrario,Non ha votato,Contrario,Non ha votato,Non ha votato,Contrario,Contrario,Non ha votato,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Contrario,Contrario,Favorevole,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Non ha votato,Contrario,Contrario,Non ha votato,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Non ha votato,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Astensione,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Non ha votato,Contrario,Contrario,Contrario,Non ha votato,Astensione,Contrario,Favorevole
ZARDINI DIEGO,305640,PD,2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Non ha votato,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,,,,,,,,,,,,,,,,,,,,,Contrario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Non ha votato,Favorevole,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,,,,,,,,,,,,,,,,,,,,,
ROTTA ALESSIA,305650,PD,2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,,,,,,,,,,,,,,,,
DE MENECH ROGER,305656,PD,2018-03-27,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Astensione,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole
MORETTO SARA,305660,IV-IC'E',2019-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Non ha votato,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Favorevole,Contrario,Favorevole
SPESSOTTO ARIANNA,305668,MISTO,2018-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,,,,,,,,,,,,,,,,,,,,,Favorevole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contrario,Astensione,Contrario,Non ha votato,Contrario,Contrario,Contrario,Favorevole,Favorevole,Contrario,Astensione,Astensione,Contrario,Astensione,Favorevole,Favorevole,Astensione,Contrario,Contrario,Contrario,Astensione,Favorevole,Astensione,Astensione,Contrario,Contrario,Contrario,Astensione,,,,,,,,,,,,,,,,,,,,,
D'INCA' FEDERICO,305674,M5S,2018-03-27,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Favorevole,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Favorevole,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
SAVINO SANDRA,305684,FI,2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,Contrario,Contrario,Astensione,Contrario,Contrario,Favorevole,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,,,,,,,,,,,,,,,,,,,,,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,,,,,,,,,,,,,,,,,,,,,
RIZZETTO WALTER,305688,FDI,2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,Contrario,Contrario,Favorevole,Non ha votato,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Non ha votato,Favorevole,Contrario,Favorevole,Favorevole,Astensione,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contrario,Astensione,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Contrario,Non ha votato,Contrario,Non ha votato,Favorevole,Non ha votato,Favorevole,Contrario,Contrario,Contrario,Favorevole,,,,,,,,,,,,,,,,,,,,,
CIPRINI TIZIANA,305694,M5S,2018-03-27,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
GALLINELLA FILIPPO,305696,M5S,2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Non ha votato,Favorevole,Favorevole,Non ha votato,Non ha votato,Non ha votato,Favorevole,Favorevole,Non ha votato,Favorevole,Favorevole,Non ha votato,Favorevole,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Favorevole,Favorevole,Non ha votato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
DE MARIA ANDREA,305698,PD,2018-03-27,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Non ha votato,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
INCERTI ANTONELLA,305702,PD,2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Favorevole,Favorevole,Favorevole,Favorevole,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Non ha votato,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Non ha votato,Favorevole,Favorevole,Favorevole,Non ha votato,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Contrario,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,Non ha votato,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Favorevole,Contrario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non ha votato,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Contrario,Contrario,Contrario,Contrario,Favorevole,Contrario,Contrario,Favorevole,Contrario,Favorevole,Favorevole,Favorevole,Favorevole,Astensione,Favorevole,Favorevole,Favorevole,Astensione,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato,Non ha votato
